2026-05-09 22:59:22 | INFO    | exchange.binance_client | Conectado a Binance (TESTNET)
2026-05-09 23:00:37 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:00:52 CST)" (scheduled at 2026-05-09 23:00:37.530444-06:00)
2026-05-09 23:00:37 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:00:37 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:00:52 CST)" executed successfully
2026-05-09 23:00:52 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:07 CST)" (scheduled at 2026-05-09 23:00:52.530444-06:00)
2026-05-09 23:00:52 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:00:52 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:07 CST)" executed successfully
2026-05-09 23:01:07 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:22 CST)" (scheduled at 2026-05-09 23:01:07.530444-06:00)
2026-05-09 23:01:07 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:01:07 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:22 CST)" executed successfully
2026-05-09 23:01:22 | INFO    | apscheduler.executors.default | Running job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:02:22 CST)" (scheduled at 2026-05-09 23:01:22.527118-06:00)
2026-05-09 23:01:22 | INFO    | TradingBot | --- Evaluando ETHUSDT ---
2026-05-09 23:01:22 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:01:22 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:01:22 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:01:22 | INFO    | TradingBot | --- Evaluando BTCUSDT ---
2026-05-09 23:01:22 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:37 CST)" (scheduled at 2026-05-09 23:01:22.530444-06:00)
2026-05-09 23:01:22 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:01:22 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:01:22 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:01:22 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:37 CST)" executed successfully
2026-05-09 23:01:22 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:01:22 | INFO    | apscheduler.executors.default | Job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:02:22 CST)" executed successfully
2026-05-09 23:01:37 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:52 CST)" (scheduled at 2026-05-09 23:01:37.530444-06:00)
2026-05-09 23:01:37 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:01:37 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:01:52 CST)" executed successfully
2026-05-09 23:01:52 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:07 CST)" (scheduled at 2026-05-09 23:01:52.530444-06:00)
2026-05-09 23:01:52 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:01:52 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:07 CST)" executed successfully
2026-05-09 23:02:07 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:22 CST)" (scheduled at 2026-05-09 23:02:07.530444-06:00)
2026-05-09 23:02:07 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:02:07 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:22 CST)" executed successfully
2026-05-09 23:02:22 | INFO    | apscheduler.executors.default | Running job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:03:22 CST)" (scheduled at 2026-05-09 23:02:22.527118-06:00)
2026-05-09 23:02:22 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:37 CST)" (scheduled at 2026-05-09 23:02:22.530444-06:00)
2026-05-09 23:02:22 | INFO    | TradingBot | --- Evaluando ETHUSDT ---
2026-05-09 23:02:22 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:02:22 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:02:37 CST)" executed successfully
2026-05-09 23:02:22 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:02:22 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:02:22 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:02:22 | INFO    | TradingBot | --- Evaluando BTCUSDT ---
2026-05-09 23:02:22 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:02:22 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:02:22 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:02:22 | INFO    | apscheduler.executors.default | Job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:03:22 CST)" executed successfully
2026-05-09 23:02:27 | INFO    | root | Señal 2 recibida, deteniendo...
2026-05-09 23:02:27 | INFO    | TradingBot | Apagando bot...
2026-05-09 23:02:27 | INFO    | apscheduler.scheduler | Scheduler has been shut down
2026-05-09 23:02:27 | INFO    | TradingBot | Bot detenido limpiamente
2026-05-09 23:02:27 | INFO    | TradingBot | Apagando bot...
2026-05-09 23:02:27 | INFO    | TradingBot | Bot detenido limpiamente
2026-05-09 23:02:34 | INFO    | exchange.binance_client | Conectado a Binance (TESTNET)
2026-05-09 23:02:34 | INFO    | notifications.telegram_bot | Telegram desactivado (faltan credenciales)
2026-05-09 23:02:34 | INFO    | TradingBot | Estado cargado: {'last_run': '2026-05-10T05:02:22.532500+00:00', 'consecutive_errors': 0}
2026-05-09 23:02:34 | INFO    | TradingBot | ============================================================
2026-05-09 23:02:34 | INFO    | TradingBot | BOT SMC ARRANCANDO
2026-05-09 23:02:34 | INFO    | TradingBot |   TESTNET=True  DRY_RUN=True  PAPER=True
2026-05-09 23:02:34 | INFO    | TradingBot |   Símbolos: ['ETHUSDT', 'BTCUSDT']
2026-05-09 23:02:34 | INFO    | TradingBot |   Loop cada 60s
2026-05-09 23:02:34 | INFO    | TradingBot | ============================================================
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Added job "TradingBot.evaluate_all" to job store "default"
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Added job "TradingBot.manage_open_positions" to job store "default"
2026-05-09 23:02:34 | INFO    | apscheduler.scheduler | Scheduler started
2026-05-09 23:02:49 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:04 CST)" (scheduled at 2026-05-09 23:02:49.899448-06:00)
2026-05-09 23:02:49 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:02:49 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:04 CST)" executed successfully
2026-05-09 23:03:04 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:19 CST)" (scheduled at 2026-05-09 23:03:04.899448-06:00)
2026-05-09 23:03:04 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:03:04 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:19 CST)" executed successfully
2026-05-09 23:03:19 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:34 CST)" (scheduled at 2026-05-09 23:03:19.899448-06:00)
2026-05-09 23:03:19 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:03:19 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:34 CST)" executed successfully
2026-05-09 23:03:34 | INFO    | apscheduler.executors.default | Running job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:04:34 CST)" (scheduled at 2026-05-09 23:03:34.898132-06:00)
2026-05-09 23:03:34 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:34 CST)" (scheduled at 2026-05-09 23:03:34.899448-06:00)
2026-05-09 23:03:34 | INFO    | TradingBot | --- Evaluando ETHUSDT ---
2026-05-09 23:03:34 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:03:34 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:03:49 CST)" executed successfully
2026-05-09 23:03:34 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:03:34 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:03:34 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:03:34 | INFO    | TradingBot | --- Evaluando BTCUSDT ---
2026-05-09 23:03:34 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:03:34 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:03:34 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:03:34 | INFO    | apscheduler.executors.default | Job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:04:34 CST)" executed successfully
2026-05-09 23:03:49 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:04:04 CST)" (scheduled at 2026-05-09 23:03:49.899448-06:00)
2026-05-09 23:03:49 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:03:49 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:04:04 CST)" executed successfully
2026-05-09 23:04:04 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:04:19 CST)" (scheduled at 2026-05-09 23:04:04.899448-06:00)
2026-05-09 23:04:04 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:04:04 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:04:19 CST)" executed successfully
2026-05-09 23:04:19 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:04:34 CST)" (scheduled at 2026-05-09 23:04:19.899448-06:00)
2026-05-09 23:04:19 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:04:19 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:04:34 CST)" executed successfully
2026-05-09 23:04:34 | INFO    | apscheduler.executors.default | Running job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:05:34 CST)" (scheduled at 2026-05-09 23:04:34.898132-06:00)
2026-05-09 23:04:34 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:04:49 CST)" (scheduled at 2026-05-09 23:04:34.899448-06:00)
2026-05-09 23:04:34 | INFO    | TradingBot | --- Evaluando ETHUSDT ---
2026-05-09 23:04:34 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:04:34 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:04:49 CST)" executed successfully
2026-05-09 23:04:34 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:04:34 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:04:34 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:04:34 | INFO    | TradingBot | --- Evaluando BTCUSDT ---
2026-05-09 23:04:34 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:04:34 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:04:34 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:04:34 | INFO    | apscheduler.executors.default | Job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:05:34 CST)" executed successfully
2026-05-09 23:04:49 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:05:04 CST)" (scheduled at 2026-05-09 23:04:49.899448-06:00)
2026-05-09 23:04:49 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:04:49 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:05:04 CST)" executed successfully
2026-05-09 23:05:04 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:05:19 CST)" (scheduled at 2026-05-09 23:05:04.899448-06:00)
2026-05-09 23:05:04 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:05:04 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:05:19 CST)" executed successfully
2026-05-09 23:05:11 | INFO    | root | Señal 2 recibida, deteniendo...
2026-05-09 23:05:11 | INFO    | TradingBot | Apagando bot...
2026-05-09 23:05:11 | INFO    | apscheduler.scheduler | Scheduler has been shut down
2026-05-09 23:05:11 | INFO    | TradingBot | Bot detenido limpiamente
2026-05-09 23:05:11 | INFO    | TradingBot | Apagando bot...
2026-05-09 23:05:11 | INFO    | TradingBot | Bot detenido limpiamente
2026-05-09 23:07:08 | INFO    | exchange.binance_client | Conectado a Binance (TESTNET)
2026-05-09 23:07:08 | INFO    | notifications.telegram_bot | Telegram desactivado (faltan credenciales)
2026-05-09 23:07:08 | INFO    | TradingBot | Estado cargado: {'last_run': '2026-05-10T05:04:34.908975+00:00', 'consecutive_errors': 0}
2026-05-09 23:07:08 | INFO    | TradingBot | ============================================================
2026-05-09 23:07:08 | INFO    | TradingBot | BOT SMC ARRANCANDO
2026-05-09 23:07:08 | INFO    | TradingBot |   TESTNET=True  DRY_RUN=True  PAPER=True
2026-05-09 23:07:08 | INFO    | TradingBot |   Símbolos: ['ETHUSDT', 'BTCUSDT']
2026-05-09 23:07:08 | INFO    | TradingBot |   Loop cada 60s
2026-05-09 23:07:08 | INFO    | TradingBot | ============================================================
2026-05-09 23:07:08 | INFO    | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-09 23:07:08 | INFO    | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-09 23:07:08 | INFO    | apscheduler.scheduler | Added job "TradingBot.evaluate_all" to job store "default"
2026-05-09 23:07:08 | INFO    | apscheduler.scheduler | Added job "TradingBot.manage_open_positions" to job store "default"
2026-05-09 23:07:08 | INFO    | apscheduler.scheduler | Scheduler started
2026-05-09 23:07:23 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:07:38 CST)" (scheduled at 2026-05-09 23:07:23.106796-06:00)
2026-05-09 23:07:23 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:07:23 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:07:38 CST)" executed successfully
2026-05-09 23:07:38 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:07:53 CST)" (scheduled at 2026-05-09 23:07:38.106796-06:00)
2026-05-09 23:07:38 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:07:38 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:07:53 CST)" executed successfully
2026-05-09 23:07:53 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:08:08 CST)" (scheduled at 2026-05-09 23:07:53.106796-06:00)
2026-05-09 23:07:53 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:07:53 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:08:08 CST)" executed successfully
2026-05-09 23:08:08 | INFO    | apscheduler.executors.default | Running job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:09:08 CST)" (scheduled at 2026-05-09 23:08:08.105806-06:00)
2026-05-09 23:08:08 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:08:23 CST)" (scheduled at 2026-05-09 23:08:08.106796-06:00)
2026-05-09 23:08:08 | INFO    | TradingBot | --- Evaluando ETHUSDT ---
2026-05-09 23:08:08 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:08:08 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:08:23 CST)" executed successfully
2026-05-09 23:08:08 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:08:08 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:08:08 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:08:08 | INFO    | TradingBot | --- Evaluando BTCUSDT ---
2026-05-09 23:08:08 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:08:08 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:08:08 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:08:08 | INFO    | apscheduler.executors.default | Job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:09:08 CST)" executed successfully
2026-05-09 23:08:23 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:08:38 CST)" (scheduled at 2026-05-09 23:08:23.106796-06:00)
2026-05-09 23:08:23 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:08:23 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:08:38 CST)" executed successfully
2026-05-09 23:08:38 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:08:53 CST)" (scheduled at 2026-05-09 23:08:38.106796-06:00)
2026-05-09 23:08:38 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:08:38 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:08:53 CST)" executed successfully
2026-05-09 23:08:53 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:09:08 CST)" (scheduled at 2026-05-09 23:08:53.106796-06:00)
2026-05-09 23:08:53 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:08:53 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:09:08 CST)" executed successfully
2026-05-09 23:09:08 | INFO    | apscheduler.executors.default | Running job "TradingBot.evaluate_all (trigger: interval[0:01:00], next run at: 2026-05-09 23:10:08 CST)" (scheduled at 2026-05-09 23:09:08.105806-06:00)
2026-05-09 23:09:08 | INFO    | apscheduler.executors.default | Running job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:09:23 CST)" (scheduled at 2026-05-09 23:09:08.106796-06:00)
2026-05-09 23:09:08 | INFO    | TradingBot | --- Evaluando ETHUSDT ---
2026-05-09 23:09:08 | ERROR   | exchange.position_tracker | Error actualizando posiciones: API Secret required for private endpoints
2026-05-09 23:09:08 | INFO    | apscheduler.executors.default | Job "TradingBot.manage_open_positions (trigger: interval[0:00:15], next run at: 2026-05-09 23:09:23 CST)" executed successfully
2026-05-09 23:09:08 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:09:08 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:09:08 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
2026-05-09 23:09:08 | INFO    | TradingBot | --- Evaluando BTCUSDT ---
2026-05-09 23:09:08 | ERROR   | strategy.risk_manager | Error contando posiciones: API Secret required for private endpoints
2026-05-09 23:09:08 | INFO    | strategy.risk_manager | Máximo de 2 posiciones alcanzado
2026-05-09 23:09:08 | INFO    | TradingBot | Risk manager bloquea: drawdown / posiciones / cooldown
